"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2015","8,181.24","8,117.50","8,488.53","7,907.31","40.06B","0.08%"
"08/01/2015","8,174.92","8,636.53","8,636.53","7,203.07","47.64B","-5.66%"
"07/01/2015","8,665.34","9,311.76","9,404.76","8,516.23","42.91B","-7.05%"
"06/01/2015","9,323.02","9,688.13","9,692.34","9,170.09","43.18B","-3.90%"
"05/01/2015","9,701.07","9,853.51","9,871.65","9,536.16","44.29B","-1.21%"
"04/01/2015","9,820.05","9,575.11","10,014.28","9,503.53","47.65B","2.44%"
"03/01/2015","9,586.44","9,665.11","9,775.63","9,472.54","45.86B","-0.37%"
"02/01/2015","9,622.10","9,368.83","9,699.54","9,352.19","23.28B","2.78%"
"01/01/2015","9,361.91","9,292.31","9,523.73","9,043.44","44.44B","0.59%"
"12/01/2014","9,307.26","9,038.41","9,338.06","8,826.03","47.67B","1.31%"
"11/01/2014","9,187.15","9,009.38","9,217.73","8,828.15","34.40B","2.37%"
"10/01/2014","8,974.76","8,958.87","9,122.54","8,501.29","40.96B","0.09%"
"09/01/2014","8,966.92","9,474.41","9,532.66","8,860.17","37.87B","-4.97%"
"08/01/2014","9,436.27","9,223.75","9,502.42","9,014.89","46.39B","1.29%"
"07/01/2014","9,315.85","9,393.07","9,593.68","9,313.87","62.65B","-0.82%"
"06/01/2014","9,393.07","9,106.61","9,393.07","9,070.45","49.52B","3.49%"
"05/01/2014","9,075.91","8,846.86","9,139.57","8,803.43","45.54B","3.24%"
"04/01/2014","8,791.44","8,847.34","9,022.28","8,671.65","48.58B","-0.65%"
"03/01/2014","8,849.28","8,627.15","8,849.28","8,508.01","49.64B","2.43%"
"02/01/2014","8,639.58","8,290.17","8,647.90","8,230.46","39.83B","2.09%"
"01/01/2014","8,462.57","8,618.60","8,668.95","8,442.19","46.51B","-1.73%"
"12/01/2013","8,611.51","8,429.24","8,647.24","8,313.87","42.24B","2.43%"
"11/01/2013","8,406.83","8,474.47","8,476.63","8,093.82","42.85B","-0.51%"
"10/01/2013","8,450.06","8,173.99","8,469.58","8,172.79","49.35B","3.38%"
"09/01/2013","8,173.87","8,010.15","8,310.94","7,993.13","40.58B","1.89%"
"08/01/2013","8,021.89","8,110.73","8,162.91","7,737.33","41.07B","-1.06%"
"07/01/2013","8,107.94","8,011.95","8,265.70","7,877.06","49.21B","0.57%"
"06/01/2013","8,062.21","8,177.97","8,250.17","7,663.23","41.39B","-2.33%"
"05/01/2013","8,254.80","8,111.43","8,439.15","8,095.70","53.39B","1.99%"
"04/01/2013","8,093.66","7,934.25","8,115.59","7,688.62","38.22B","2.21%"
"03/01/2013","7,918.61","7,917.72","8,089.21","7,786.56","44.60B","0.26%"
"02/01/2013","7,897.98","7,853.75","8,029.10","7,832.00","29.63B","0.61%"
"01/01/2013","7,850.02","7,738.05","7,855.16","7,603.27","48.85B","1.95%"
"12/01/2012","7,699.50","7,582.65","7,757.09","7,491.52","46.99B","1.57%"
"11/01/2012","7,580.17","7,141.97","7,590.69","7,050.05","38.00B","5.78%"
"10/01/2012","7,166.05","7,702.12","7,727.53","7,091.19","35.34B","-7.12%"
"09/01/2012","7,715.16","7,430.40","7,789.39","7,313.56","45.94B","4.30%"
"08/01/2012","7,397.06","7,242.58","7,536.32","7,186.78","41.19B","1.74%"
"07/01/2012","7,270.49","7,332.09","7,442.55","6,922.73","35.30B","-0.35%"
"06/01/2012","7,296.28","7,213.69","7,334.63","6,857.35","32.47B","-0.07%"
"05/01/2012","7,301.50","7,511.76","7,704.87","7,047.32","38.59B","-2.67%"
"04/01/2012","7,501.72","7,905.88","7,928.43","7,422.14","35.76B","-5.44%"
"03/01/2012","7,933.00","8,127.57","8,170.72","7,775.75","57.53B","-2.32%"
"02/01/2012","8,121.44","7,520.36","8,121.44","7,488.97","73.74B","8.04%"
"01/01/2012","7,517.08","7,071.35","7,517.08","6,948.67","36.83B","6.29%"
"12/01/2011","7,072.08","7,132.41","7,199.26","6,609.11","40.93B","2.43%"
"11/01/2011","6,904.12","7,547.24","7,683.09","6,744.26","49.55B","-9.01%"
"10/01/2011","7,587.69","7,128.66","7,743.37","6,889.99","43.26B","5.01%"
"09/01/2011","7,225.38","7,799.18","7,886.04","6,877.12","52.83B","-6.67%"
"08/01/2011","7,741.36","8,629.97","8,707.87","7,148.76","71.59B","-10.44%"
"07/01/2011","8,644.18","8,684.39","8,842.17","8,410.44","53.55B","-0.10%"
"06/01/2011","8,652.59","8,999.84","9,089.47","8,433.46","43.69B","-3.74%"
"05/01/2011","8,988.84","9,014.33","9,082.01","8,673.38","48.94B","-0.21%"
"04/01/2011","9,007.87","8,697.84","9,099.75","8,592.23","50.13B","3.74%"
"03/01/2011","8,683.30","8,611.79","8,829.23","8,070.52","63.75B","0.97%"
"02/01/2011","8,599.65","9,220.69","9,220.69","8,470.09","47.51B","-5.97%"
"01/01/2011","9,145.35","9,039.63","9,154.93","8,738.93","74.94B","1.93%"
"12/01/2010","8,972.50","8,430.60","8,990.38","8,428.64","86.74B","7.17%"
"11/01/2010","8,372.48","8,343.52","8,473.66","8,226.71","60.16B","1.03%"
"10/01/2010","8,287.09","8,259.08","8,386.29","7,992.81","83.73B","0.60%"
"09/01/2010","8,237.78","7,643.61","8,286.93","7,625.72","93.93B","8.16%"
"08/01/2010","7,616.28","7,829.19","8,054.29","7,577.10","104.37B","-1.86%"
"07/01/2010","7,760.63","7,326.89","7,807.07","7,251.60","84.00B","5.88%"
"06/01/2010","7,329.37","7,327.01","7,645.71","7,048.60","62.39B","-0.60%"
"05/01/2010","7,373.98","7,979.80","8,022.45","7,032.40","72.74B","-7.87%"
"04/01/2010","8,004.25","7,952.62","8,190.01","7,842.07","90.34B","1.06%"
"03/01/2010","7,920.06","7,492.84","7,994.62","7,451.09","80.22B","6.51%"
"02/01/2010","7,436.10","7,653.89","7,661.70","7,080.90","46.80B","-2.67%"
"01/01/2010","7,640.44","8,222.42","8,395.39","7,481.90","105.43B","-6.69%"
"12/01/2009","8,188.11","7,615.95","8,188.80","7,549.01","102.75B","7.99%"
"11/01/2009","7,582.21","7,238.30","7,875.48","7,218.89","81.10B","3.30%"
"10/01/2009","7,340.08","7,581.38","7,811.92","7,233.63","99.07B","-2.25%"
"09/01/2009","7,509.17","6,834.63","7,558.88","6,807.62","92.42B","10.01%"
"08/01/2009","6,825.95","7,036.47","7,138.94","6,629.10","78.39B","-3.56%"
"07/01/2009","7,077.71","6,445.85","7,185.52","6,433.69","110.76B","10.04%"
"06/01/2009","6,432.16","7,033.33","7,084.83","6,100.08","108.36B","-6.65%"
"05/01/2009","6,890.44","6,285.60","6,930.59","6,256.29","140.23B","14.98%"
"04/01/2009","5,992.57","5,271.83","6,071.06","5,271.83","149.47B","15.00%"
"03/01/2009","5,210.84","4,528.27","5,468.49","4,328.05","116.67B","14.34%"
"02/01/2009","4,557.15","4,277.10","4,607.97","4,240.08","64.45B","7.28%"
"01/01/2009","4,247.97","4,725.26","4,817.44","4,164.19","45.69B","-7.48%"
"12/01/2008","4,591.22","4,436.12","4,750.96","4,190.02","87.32B","2.93%"
"11/01/2008","4,460.49","4,925.74","5,095.98","3,955.43","68.44B","-8.42%"
"10/01/2008","4,870.66","5,854.00","5,854.00","4,110.09","66.39B","-14.84%"
"09/01/2008","5,719.28","6,967.22","6,967.22","5,530.19","80.40B","-18.83%"
"08/01/2008","7,046.11","6,920.75","7,376.69","6,809.96","78.42B","0.31%"
"07/01/2008","7,024.06","7,528.54","7,569.18","6,708.46","92.60B","-6.64%"
"06/01/2008","7,523.54","8,638.48","8,809.33","7,466.20","82.06B","-12.71%"
"05/01/2008","8,619.08","8,998.06","9,309.95","8,548.32","110.16B","-3.37%"
